id,title,score,eps
52807,One Punch Man 3,5.31,Unknown
59027,Spy x Family Season 3,8.19,13
60098,Boku no Hero Academia: Final Season,8.79,Unknown
54703,Fumetsu no Anata e Season 3,7.98,22
59846,Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,7.61,13
61026,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,7.06,12
47158,Tomodachi no Imouto ga Ore ni dake Uzai,6.45,12
57025,Tondemo Skill de Isekai Hourou Meshi 2,7.76,12
59267,Sanda,7.47,12
59644,Yasei no Last Boss ga Arawareta!,7.38,Unknown
61917,Towa no Yuugure,6.85,12
60564,Ranma ½ (2024) 2nd Season,8.01,Unknown
60303,"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!",6.57,12
60168,"Watashi wo Tabetai, Hitodenashi",7.25,13
56854,Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,6.34,12
60619,Nageki no Bourei wa Intai shitai Part 2,7.38,11
59517,Chitose-kun wa Ramune Bin no Naka,7.2,13
60531,Bukiyou na Senpai.,6.85,12
60162,Akujiki Reijou to Kyouketsu Koushaku,7.2,12
61276,"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",6.27,12
60254,Yano-kun no Futsuu no Hibi,7.19,12
62405,Fujimoto Tatsuki 17-26,8.23,8
61174,Sozai Saishuka no Isekai Ryokouki,6,12
54757,3-nen Z-gumi Ginpachi-sensei,8.18,12
57888,"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.",6.79,12